,BACH2,Cd244,CX3CR1,CXCR6,ENTPD1,GZMA,GZMB,HAVCR2,IFNG,ITGAX,MKI67,MYB,PDCD1,SELL,SLAMF6,TCF7,TOX,Teff,Tex,Tpex
ACTN1,0.2612485,0.07440741,0.060414523,0.5668078,0.15381737,0.43483475,1.3386444,0.37733272,0.9662213,0.05387271,0.56654644,0.5293893,0.6531314,0.41282248,0.49915904,0.5534795,0.55783844,0.1370558375634517,0.3197969543147208,0.5431472081218274
AFF3,0.22531636,0.072077274,0.14934565,0.5601133,0.13875274,0.41138905,1.2742157,0.37705395,1.1414531,0.07117131,0.53244185,0.36703148,0.7784618,0.40908855,0.40828007,0.59433484,0.59469503,0.1683673469387755,0.4183673469387755,0.413265306122449
AR,0.26950002,0.055600006,0.12509802,0.41443494,0.11101923,0.22959737,1.0851274,0.21197881,0.8711955,0.022639653,0.54269207,0.61458355,0.37832165,0.50303674,0.52602905,0.6419476,0.5637227,0.13,0.29,0.58
ARID5A,0.28823152,0.03009993,0.05477015,0.5940434,0.14812617,0.54082125,1.638455,0.37933138,0.7353428,0.06465979,0.70868486,0.476169,0.60495496,0.7035474,0.40280375,0.4995144,0.76724565,0.1694915254237288,0.3389830508474576,0.4915254237288136
ARNT2,0.25651926,0.061926078,0.09129337,0.42882025,0.1352524,0.42896533,1.1419038,0.28066936,0.8448304,0.0677965,0.60432786,0.52698106,0.64174646,0.55719876,0.53922486,0.6081676,0.5801016,0.1008403361344537,0.3445378151260504,0.5546218487394958
ATF6,0.28352636,0.035219196,0.09515325,0.37879208,0.11570534,0.30963278,1.2113075,0.28835684,0.93938035,0.041148067,0.53730917,0.6358016,0.5459983,0.5727461,0.49784076,0.604301,0.4979675,0.1428571428571428,0.328042328042328,0.5291005291005291
BACH1,0.26291335,0.058115542,0.048913218,0.36066836,0.1094188,0.26616305,1.0399307,0.21509597,0.80683506,0.045257013,0.45541713,0.5498548,0.5071059,0.7466883,0.6898065,0.729554,0.6870283,0.1294964028776978,0.2949640287769784,0.5755395683453237
BACH2,0.30198443,0.077324055,0.112995334,0.7854197,0.16911669,1.0594703,1.8709841,0.60034674,1.4946021,0.13248679,0.60432255,0.33410692,0.6312248,0.26756987,0.33147997,0.35511324,0.30940583,0.3289473684210526,0.3881578947368421,0.2828947368421052
BATF,0.32475832,0.01824741,0.08938656,0.25689638,0.060767915,0.3106054,0.9568087,0.1073322,0.6443853,0.0818168,0.5536433,0.6680105,0.38451472,0.72339857,0.4541503,0.89175725,0.4652166,0.18,0.21,0.61
BCL6,0.25724965,0.03030467,0.12822899,0.716299,0.14836262,1.0736836,1.652683,0.41630423,1.3211486,0.1040761,0.61859554,0.5068683,0.7856448,0.5079009,0.4744237,0.50672334,0.48591086,0.2675585284280936,0.3110367892976589,0.4214046822742475
BCL9,0.2489904,0.060244042,0.078594126,0.48465332,0.118843816,0.19679761,1.2193794,0.22949295,0.8190325,0.016771294,0.54134023,0.5511527,0.5979094,0.5917054,0.5228122,0.58994937,0.618084,0.0798122065727699,0.3615023474178404,0.5586854460093896
BHLHE40,0.2260573,0.023041155,0.08939743,0.60740787,0.14919189,0.71367586,1.7289768,0.37577626,1.1694571,0.105866365,0.64642113,0.4717904,0.64727044,0.4526357,0.49118042,0.5374977,0.45607907,0.2038461538461538,0.3461538461538461,0.45
BTG2,0.295978,0.05110428,0.059306454,0.37309784,0.08789946,0.31922677,0.9183212,0.19251707,0.7407995,0.045309253,0.4678548,0.57839566,0.58006364,0.6718463,0.63549465,0.7025576,0.6629472,0.1259259259259259,0.2444444444444444,0.6296296296296297
CREB3L2,0.25623748,0.054853443,0.08947605,0.43256396,0.14470908,0.34395364,1.1686108,0.29616326,0.8509264,0.051985122,0.5733493,0.53974503,0.6652286,0.57239944,0.54752666,0.59948033,0.60202646,0.1235955056179775,0.3333333333333333,0.5430711610486891
